,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
108,40.8092,-73.94421,100,2,170,346,0,0,1,0,0,0,1,0
109,40.68157,-73.98989,200,30,19,208,0,1,0,0,0,1,0,0
110,40.75527,-73.99291,59,2,334,279,0,0,1,0,0,0,1,0
111,40.68698,-73.96571999999999,125,2,19,250,0,1,0,0,0,0,1,0
112,40.7288,-73.98192,140,7,12,164,0,0,1,0,0,1,0,0
113,40.66853,-73.98912,120,30,467,192,0,1,0,0,0,1,0,0
114,40.7254,-73.98156999999999,350,2,7,298,0,0,1,0,0,1,0,0
115,40.742940000000004,-73.98009,199,5,38,260,0,0,1,0,0,1,0,0
116,40.71942,-73.95748,325,3,324,107,0,1,0,0,0,1,0,0
117,40.77823,-73.97636999999999,235,6,27,199,0,0,1,0,0,1,0,0
118,40.72555,-73.97965,225,1,115,299,0,0,1,0,0,1,0,0
119,40.66831,-73.98604,99,2,354,20,0,1,0,0,0,0,1,0
120,40.82754,-73.94919,170,2,195,318,0,0,1,0,0,1,0,0
121,40.66499,-73.97925,400,2,16,216,0,1,0,0,0,1,0,0
122,40.778420000000004,-73.97556,170,7,13,224,0,0,1,0,0,1,0,0
123,40.72245,-73.98527,100,4,25,0,0,0,1,0,0,1,0,0
124,40.65593,-73.96053,75,2,9,324,0,1,0,0,0,0,1,0
125,40.719229999999996,-73.96468,90,1,9,245,0,1,0,0,0,0,1,0
126,40.778,-73.94821999999999,150,5,21,189,0,0,1,0,0,1,0,0
127,40.85879,-73.93128,85,15,36,307,0,0,1,0,0,0,1,0
128,40.68332,-73.9547,70,3,63,310,0,1,0,0,0,0,1,0
129,40.816179999999996,-73.94894000000001,120,3,155,213,0,0,1,0,0,1,0,0
130,40.68414,-73.96351,89,3,260,278,0,1,0,0,0,0,1,0
131,40.72392,-73.99143000000001,185,5,73,209,0,0,1,0,0,1,0,0
132,40.73494,-73.9503,50,3,193,0,0,1,0,0,0,0,1,0
133,40.713409999999996,-73.98855999999999,105,3,32,16,0,0,1,0,0,1,0,0
134,40.767540000000004,-73.98399,130,2,50,234,0,0,1,0,0,0,1,0
135,40.73442,-74.00303000000001,115,29,26,12,0,0,1,0,0,1,0,0
136,40.631879999999995,-73.93248,77,2,2,178,0,1,0,0,0,0,1,0
137,40.6873,-73.9634,76,2,426,275,0,1,0,0,0,0,1,0
138,40.682959999999994,-73.93661999999999,125,3,227,163,0,1,0,0,0,1,0,0
139,40.6863,-73.96765,135,4,84,365,0,1,0,0,0,0,1,0
140,40.73409,-73.95348,250,29,3,34,0,1,0,0,0,1,0,0
141,40.71561,-73.94835,199,3,10,280,0,1,0,0,0,1,0,0
